o0981189	s	ŠAGAN--	ŠAGAN
o0982026	n	1(N34)--	1(N34)
o0980907	s	NAR--	NAR
o0981041	s	SAL--	SAL
o0982026	n	1(N34)--	1(N34)
o0981315	s	TUM~c--	TUM~c
o0980139	s	DA~b--	DA~b
o0980999	s	PA~a--	PA~a
o0982026	n	1(N34)--	1(N34)
o0982136	n	1(N51)--	1(N51)
o0982026	n	1(N34)--	1(N34)
o0981916	n	5(N14)--	5(N14)
o0981855	n	8(N02)--	8(N02)
o0981392	s	U₈--	U₈
o0980849	s	MU--	MU
o0981936	n	2(N15)--	2(N15)
o0981850	n	3(N02)--	3(N02)
o0981828	n	1(N01)--	1(N01)
o0980839	s	MAŠ₂--	MAŠ₂
o0981828	n	1(N01)--	1(N01)
o0981208	s	ŠE₃--	ŠE₃
o0981402	s	UDU~a--	UDU~a
o0981829	n	2(N01)--	2(N01)
o0981402	s	UDU~a--	UDU~a
o0981914	n	3(N14)--	3(N14)
o0981829	n	2(N01)--	2(N01)
o0980543	s	GU₄--	GU₄
o0980025	s	AB₂--	AB₂
o0980849	s	MU--	MU
o0981050	s	SANGA~a--	SANGA~a
o0980430	s	GAL~a--	GAL~a
o0981914	n	3(N14)--	3(N14)
o0981828	n	1(N01)--	1(N01)
o0980689	s	KIŠ--	KIŠ
o0981828	n	1(N01)--	1(N01)
o0980453	s	GAN₂--	GAN₂
o0981917	n	6(N14)--	6(N14)
o0981829	n	2(N01)--	2(N01)
o0982092	n	2(N45)--	2(N45)
o0981912	n	1(N14)--	1(N14)
o0981829	n	2(N01)--	2(N01)
o0981200	s	ŠE~a--	ŠE~a
o0981952	n	2(N19)--	2(N19)
o0981828	n	1(N01)--	1(N01)
o0980830	s	MAR~a--	MAR~a
o0980472	s	GI--	GI
o0980025	s	AB₂--	AB₂
o0981912	n	1(N14)--	1(N14)
o0980689	s	KIŠ--	KIŠ
o0981829	n	2(N01)--	2(N01)
o0981830	n	3(N01)--	3(N01)
o0981828	n	1(N01)--	1(N01)
o0980025	s	AB₂--	AB₂
o0981247	s	ŠU--	ŠU
o0980472	s	GI--	GI
o0981872	n	1(N05)--	1(N05)
o0980579	s	HI--	HI
o0980033	s	AD~c--	AD~c
o0982246	s	X--	X
o0980699	s	KU₆~a--	KU₆~a
o0980907	s	NAR--	NAR
o0981630	s	ZATU694~c--	ZATU694~c
o0981294	s	TAR~a--	TAR~a
o0980552	s	GUG₂--	GUG₂
o0981463	s	URU~a1--	URU~a1
o0981776	s	ZATU811--	ZATU811
o0981912	n	1(N14)--	1(N14)
o0981828	n	1(N01)--	1(N01)
o0981829	n	2(N01)--	2(N01)
o0981830	n	3(N01)--	3(N01)
o0981030	c	|SAG×GEŠTU~a|--	|SAG+GEŠTU~a|
o0981829	n	2(N01)--	2(N01)
o0982026	n	1(N34)--	1(N34)
o0981916	n	5(N14)--	5(N14)
o0982182	n	1(N58)--	1(N58)
o0981953	n	3(N19)--	3(N19)
o0981863	n	2(N04)--	2(N04)
o0981918	n	7(N14)--	7(N14)
o0982246	s	X--	X
o0981320	s	TUR--	TUR
o0980115	s	BU~a--	BU~a
o0982172	n	1(N57)--	1(N57)
o0982172	n	1(N57)--	1(N57)
o0982246	s	X--	X
o0982246	s	X--	X
o0980334	s	EZEN~a--	EZEN~a
o0982246	s	X--	X
o0981912	n	1(N14)--	1(N14)
o0981832	n	5(N01)--	5(N01)
o0981829	n	2(N01)--	2(N01)
o0981913	n	2(N14)--	2(N14)
o0980137	s	DA~a--	DA~a
o0980058	s	AN--	AN
o0981951	n	1(N19)--	1(N19)
o0981864	n	3(N04)--	3(N04)
o0980115	s	BU~a--	BU~a
o0981041	s	SAL--	SAL
o0980754	c	|LAGAB~b.TE|--	|LAGAB~b.TE|
o0980753	e	--	-
o0981296	e	--	-
o0981916	n	5(N14)--	5(N14)
o0982246	s	X--	X
o0982246	s	X--	X
o0981912	n	1(N14)--	1(N14)
o0981952	n	2(N19)--	2(N19)
o0981862	n	1(N04)--	1(N04)
o0981916	n	5(N14)--	5(N14)
o0980058	s	AN--	AN
o0980309	s	EN~a--	EN~a
o0981952	n	2(N19)--	2(N19)
o0981919	n	8(N14)--	8(N14)
o0980656	s	KAŠ~b--	KAŠ~b
o0981200	s	ŠE~a--	ŠE~a
o0982246	s	X--	X
o0981913	n	2(N14)--	2(N14)
o0981830	n	3(N01)--	3(N01)
